Part,Source Plate Name,Source Well,Destination ID,Destination Plate Name,Destination Well,Volume
CD247-1R,pSCIP_guideBaits,D1,0,PCR_0000043,C7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C7,40
pSCIP_CD8-1_gB_v2,E_pSCIP_coloniesinwater_384PP,E4,0,PCR_0000043,D7,800
CD8-1BR,pSCIP_guideBaits,E13,0,PCR_0000043,D7,20
CD8-1R,pSCIP_guideBaits,B7,0,PCR_0000043,D7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D7,40
pSCIP_CD247-1_gB_v3,E_pSCIP_coloniesinwater_384PP,E5,0,PCR_0000043,E7,800
CD247-1BR,pSCIP_guideBaits,G7,0,PCR_0000043,E7,20
CD247-1R,pSCIP_guideBaits,D1,0,PCR_0000043,E7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E7,40
pSCIP_CD8-1_gB_v3,E_pSCIP_coloniesinwater_384PP,E6,0,PCR_0000043,F7,800
CD8-1BR,pSCIP_guideBaits,E13,0,PCR_0000043,F7,20
CD8-1R,pSCIP_guideBaits,B7,0,PCR_0000043,F7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F7,40
pSCIP_CD247-1_gB_v4,E_pSCIP_coloniesinwater_384PP,E7,0,PCR_0000043,G7,800
CD247-1BR,pSCIP_guideBaits,G7,0,PCR_0000043,G7,20
CD247-1R,pSCIP_guideBaits,D1,0,PCR_0000043,G7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G7,40
pSCIP_CD8-1_gB_v4,E_pSCIP_coloniesinwater_384PP,E8,0,PCR_0000043,H7,800
CD8-1BR,pSCIP_guideBaits,E13,0,PCR_0000043,H7,20
CD8-1R,pSCIP_guideBaits,B7,0,PCR_0000043,H7,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H7,40
pSCIP_CD247-2_gB_v1,E_pSCIP_coloniesinwater_384PP,E9,0,PCR_0000043,A8,800
CD247-2BR,pSCIP_guideBaits,G8,0,PCR_0000043,A8,20
CD247-2R,pSCIP_guideBaits,D2,0,PCR_0000043,A8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A8,40
pSCIP_CD8-2_gB_v1,E_pSCIP_coloniesinwater_384PP,E10,0,PCR_0000043,B8,800
CD8-2BR,pSCIP_guideBaits,E14,0,PCR_0000043,B8,20
CD8-2R,pSCIP_guideBaits,B8,0,PCR_0000043,B8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B8,40
pSCIP_CD247-2_gB_v2,E_pSCIP_coloniesinwater_384PP,E11,0,PCR_0000043,C8,800
CD247-2BR,pSCIP_guideBaits,G8,0,PCR_0000043,C8,20
CD247-2R,pSCIP_guideBaits,D2,0,PCR_0000043,C8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C8,40
pSCIP_CD8-2_gB_v2,E_pSCIP_coloniesinwater_384PP,E12,0,PCR_0000043,D8,800
CD8-2BR,pSCIP_guideBaits,E14,0,PCR_0000043,D8,20
CD8-2R,pSCIP_guideBaits,B8,0,PCR_0000043,D8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D8,40
pSCIP_CD247-2_gB_v3,E_pSCIP_coloniesinwater_384PP,E13,0,PCR_0000043,E8,800
CD247-2BR,pSCIP_guideBaits,G8,0,PCR_0000043,E8,20
CD247-2R,pSCIP_guideBaits,D2,0,PCR_0000043,E8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E8,40
pSCIP_CD8-2_gB_v3,E_pSCIP_coloniesinwater_384PP,E14,0,PCR_0000043,F8,800
CD8-2BR,pSCIP_guideBaits,E14,0,PCR_0000043,F8,20
CD8-2R,pSCIP_guideBaits,B8,0,PCR_0000043,F8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F8,40
pSCIP_CD247-2_gB_v4,E_pSCIP_coloniesinwater_384PP,E15,0,PCR_0000043,G8,800
CD247-2BR,pSCIP_guideBaits,G8,0,PCR_0000043,G8,20
CD247-2R,pSCIP_guideBaits,D2,0,PCR_0000043,G8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G8,40
pSCIP_CD8-2_gB_v4,E_pSCIP_coloniesinwater_384PP,E16,0,PCR_0000043,H8,800
CD8-2BR,pSCIP_guideBaits,E14,0,PCR_0000043,H8,20
CD8-2R,pSCIP_guideBaits,B8,0,PCR_0000043,H8,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H8,40
pSCIP_CD247-3_gB_v1,E_pSCIP_coloniesinwater_384PP,E17,0,PCR_0000043,A9,800
CD247-3BR,pSCIP_guideBaits,G9,0,PCR_0000043,A9,20
CD247-3R,pSCIP_guideBaits,D3,0,PCR_0000043,A9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A9,40
pSCIP_CD8-3_gB_v1,E_pSCIP_coloniesinwater_384PP,E18,0,PCR_0000043,B9,800
CD8-3BR,pSCIP_guideBaits,E15,0,PCR_0000043,B9,20
CD8-3R,pSCIP_guideBaits,B9,0,PCR_0000043,B9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B9,40
pSCIP_CD247-3_gB_v2,E_pSCIP_coloniesinwater_384PP,E19,0,PCR_0000043,C9,800
CD247-3BR,pSCIP_guideBaits,G9,0,PCR_0000043,C9,20
CD247-3R,pSCIP_guideBaits,D3,0,PCR_0000043,C9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C9,40
pSCIP_CD8-3_gB_v2,E_pSCIP_coloniesinwater_384PP,E20,0,PCR_0000043,D9,800
CD8-3BR,pSCIP_guideBaits,E15,0,PCR_0000043,D9,20
CD8-3R,pSCIP_guideBaits,B9,0,PCR_0000043,D9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D9,40
pSCIP_CD247-3_gB_v3,E_pSCIP_coloniesinwater_384PP,E21,0,PCR_0000043,E9,800
CD247-3BR,pSCIP_guideBaits,G9,0,PCR_0000043,E9,20
CD247-3R,pSCIP_guideBaits,D3,0,PCR_0000043,E9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E9,40
pSCIP_CD8-3_gB_v3,E_pSCIP_coloniesinwater_384PP,E22,0,PCR_0000043,F9,800
CD8-3BR,pSCIP_guideBaits,E15,0,PCR_0000043,F9,20
CD8-3R,pSCIP_guideBaits,B9,0,PCR_0000043,F9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F9,40
pSCIP_CD247-3_gB_v4,E_pSCIP_coloniesinwater_384PP,E23,0,PCR_0000043,G9,800
CD247-3BR,pSCIP_guideBaits,G9,0,PCR_0000043,G9,20
CD247-3R,pSCIP_guideBaits,D3,0,PCR_0000043,G9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G9,40
pSCIP_CD8-3_gB_v4,E_pSCIP_coloniesinwater_384PP,E24,0,PCR_0000043,H9,800
CD8-3BR,pSCIP_guideBaits,E15,0,PCR_0000043,H9,20
CD8-3R,pSCIP_guideBaits,B9,0,PCR_0000043,H9,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H9,40
pSCIP_CD25-1_gB_v1,E_pSCIP_coloniesinwater_384PP,G1,0,PCR_0000043,A10,800
CD25-1BR,pSCIP_guideBaits,F22,0,PCR_0000043,A10,20
CD25-1R,pSCIP_guideBaits,C16,0,PCR_0000043,A10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A10,40
pSCIP_PD1-1_gB_v1,E_pSCIP_coloniesinwater_384PP,G2,0,PCR_0000043,B10,800
PD1-1BR,pSCIP_guideBaits,F10,0,PCR_0000043,B10,20
PD1-1R,pSCIP_guideBaits,C4,0,PCR_0000043,B10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B10,40
pSCIP_CD25-1_gB_v2,E_pSCIP_coloniesinwater_384PP,G3,0,PCR_0000043,C10,800
CD25-1BR,pSCIP_guideBaits,F22,0,PCR_0000043,C10,20
CD25-1R,pSCIP_guideBaits,C16,0,PCR_0000043,C10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,C10,40
pSCIP_PD1-1_gB_v2,E_pSCIP_coloniesinwater_384PP,G4,0,PCR_0000043,D10,800
PD1-1BR,pSCIP_guideBaits,F10,0,PCR_0000043,D10,20
PD1-1R,pSCIP_guideBaits,C4,0,PCR_0000043,D10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,D10,40
pSCIP_CD25-1_gB_v3,E_pSCIP_coloniesinwater_384PP,G5,0,PCR_0000043,E10,800
CD25-1BR,pSCIP_guideBaits,F22,0,PCR_0000043,E10,20
CD25-1R,pSCIP_guideBaits,C16,0,PCR_0000043,E10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,E10,40
pSCIP_PD1-1_gB_v3,E_pSCIP_coloniesinwater_384PP,G6,0,PCR_0000043,F10,800
PD1-1BR,pSCIP_guideBaits,F10,0,PCR_0000043,F10,20
PD1-1R,pSCIP_guideBaits,C4,0,PCR_0000043,F10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,F10,40
pSCIP_CD25-1_gB_v4,E_pSCIP_coloniesinwater_384PP,G7,0,PCR_0000043,G10,800
CD25-1BR,pSCIP_guideBaits,F22,0,PCR_0000043,G10,20
CD25-1R,pSCIP_guideBaits,C16,0,PCR_0000043,G10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,G10,40
pSCIP_PD1-1_gB_v4,E_pSCIP_coloniesinwater_384PP,G8,0,PCR_0000043,H10,800
PD1-1BR,pSCIP_guideBaits,F10,0,PCR_0000043,H10,20
PD1-1R,pSCIP_guideBaits,C4,0,PCR_0000043,H10,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,H10,40
pSCIP_CD25-2_gB_v1,E_pSCIP_coloniesinwater_384PP,G9,0,PCR_0000043,A11,800
CD25-2BR,pSCIP_guideBaits,F23,0,PCR_0000043,A11,20
CD25-2R,pSCIP_guideBaits,C17,0,PCR_0000043,A11,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,A11,40
pSCIP_PD1-2_gB_v1,E_pSCIP_coloniesinwater_384PP,G10,0,PCR_0000043,B11,800
PD1-2BR,pSCIP_guideBaits,F11,0,PCR_0000043,B11,20
PD1-2R,pSCIP_guideBaits,C5,0,PCR_0000043,B11,20
hU6prom F,pSCIP_guideBaits,P21,0,PCR_0000043,B11,40
pSCIP_CD25-2_gB_v2,E_pSCIP_coloniesinwater_384PP,G11,0,PCR_0000043,C11,800
CD25-2BR,pSCIP_guideBaits,F23,0,PCR_0000043,C11,20
